a	(emphasis)
toki	To Communicate<br>Say<br>Speak<br>Say<br>Talk<br>Use Language<br>Think
tomo	Indoor Space<br>Building<br>Home<br>House<br>Room
tu	Two
unpa	To Have Sexual With<br>To Have Marital Relations With
uta	Mouth<br>Lips<br>Oral Cavity<br>Jaw
utala	To Battle<br>Challenge<br>Compete Against<br>Struggle Against
walo	White<br>Whitish<br>Light-Coloured, Pale
wan	Unique<br>United<br>One
waso	bird<br>Flying Creature<br>Winged Animal
wawa	Strong<br>Powerful<br>Confident<br>Sure<br>Energetic<br>Intense
weka	Absent<br>Away<br>Ignored
wile	Must<br>Need<br>Require<br>Should<br>Want<br>Wish
kin	(emphasis, emotion or confirmation)
ali	All<br>Abundant<br>Countless<br>Bountiful<br>Every<br>Plentiful<br>Universe
oko	Eye<br>To Look At<br>See<br>Examine<br>Observe<br>Read
namako	New<br>Fresh<br>Additional<br>Another<br>Extra
